CMS Certification Number (CCN),Network,Facility Name,Five Star,Address Line 1,City/Town,State,ZIP Code,County/Parish,Profit or Non-Profit,Chain Owned,Chain Organization,Late Shift,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Patient Survival Category Text,Number of Patients included in survival summary,Mortality Rate (Facility),Patient hospitalization category text,Hospitalization Rate (Facility),Patient Hospital Readmission Category,Number of hospitalizations included in hospital readmission summary,Readmission Rate (Facility),Patient Transfusion category text,Transfusion Rate (Facility),Number of patients in this facility for SWR,Standardized First Kidney Transplant Waitlist Ratio,PPPW category text,Number of patients for PPPW,Percentage of Prevalent Patients Waitlisted,Standardized ED visits ratio (Facility),Standardized ED visits within 30 days of hospital discharge ratio (Facility),Standard Infection Ratio,Fistula Category Text,Fistula Rate (Facility),Healthcare worker COVID-19 vaccination adherence percentage,Number of Dialysis Patients with Hgb data,Number of patient-months in hypercalcemia summary,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL
392604,4,DaVita Elizabethtown Dialysis,4,844 North Hanover Street,Elizabethtown,PA,17022,Lancaster,Profit,Yes,DaVita,No,12,Yes,No,No,As Expected,119,18.6,As Expected,100.4,As Expected,22,30.3,Not Available,,13,,As Expected,23,4.9,0.54,0.47,0.42,As Expected,69.6,7,9,267,0,9,29,36,14,12
362732,9,DaVita Logan Dialysis,3,12880 GREY STREET,LOGAN,OH,43138,Hocking,Profit,Yes,DaVita,No,12,Yes,Yes,No,As Expected,150,24.5,As Expected,166.7,As Expected,33,37.1,Not Available,,17,,As Expected,27,6.2,1.93,1.07,0.44,As Expected,50.8,6,10,309,3,9,20,29,27,15
42515,13,KIDNEY DISEASE AND DIALYSIS CLINIC OF MAGNOLIA,,1411 N JACKSON,MAGNOLIA,AR,71754,Columbia,Profit,No,Independent,No,12,Yes,No,No,As Expected,32,13.6,As Expected,126,Not Available,6,,Not Available,,1,,Not Available,7,,,,,Not Available,,,2,65,,,,,,
282534,12,DaVita Beatrice Dialysis,5,5200 Hospital Parkway,BEATRICE,NE,68310,Gage,Profit,Yes,DaVita,No,8,Yes,No,No,As Expected,127,17.6,As Expected,102.4,As Expected,22,28.1,As Expected,0,10,,As Expected,21,17,0.52,1.11,0,As Expected,75,0,16,298,0,6,24,32,29,10
342598,6,FMC DARE COUNTY DIALYSIS,3,115 EXETER STREET,MANTEO,NC,27954,Dare,Profit,Yes,Fresenius Medical Care,No,9,Yes,No,No,As Expected,89,18.9,As Expected,118.8,As Expected,17,11.1,Not Available,,10,,As Expected,26,20.8,0.87,1.54,0.35,As Expected,56.4,0,9,302,1,3,13,26,35,22
62591,15,DaVita Platte Valley Dialysis,4,1321 S 4th Ave,BRIGHTON,CO,80601,Adams,Profit,Yes,DaVita,No,12,Yes,Yes,No,As Expected,232,17.1,As Expected,104.2,As Expected,44,17.8,As Expected,20.2,36,1.35,As Expected,67,18.7,0.93,1.59,0.13,As Expected,73.5,4,18,780,1,7,18,26,27,22
172552,12,Fresenius Medical Care Derby,3,712 Klein Circle,DERBY,KS,67037,Sedgwick,Profit,Yes,Fresenius Medical Care,No,12,Yes,No,No,As Expected,117,15.3,As Expected,166.9,As Expected,34,30.5,Not Available,,5,,As Expected,25,1.1,1.4,1.34,0,As Expected,70.3,0,11,259,3,12,26,24,22,16
332762,2,Dialysis Center of Oneida,4,2142 Glenwood Shopping Plaza,ONEIDA,NY,13421,Madison,Profit,Yes,American Renal Associates,No,8,Yes,Yes,Yes,As Expected,218,15.7,As Expected,129.3,As Expected,40,34.6,Worse than Expected,135.3,26,,As Expected,41,30.1,0.84,1.9,0.85,As Expected,76.9,0,12,476,3,7,24,32,26,10
342716,6,DaVita Leland Dialysis Center,3,1220 Magnolia Village Way,LELAND,NC,28451,Brunswick,Profit,Yes,DaVita,No,16,Yes,Yes,No,As Expected,226,23.4,As Expected,112.7,As Expected,48,29,As Expected,58.9,26,0.98,As Expected,50,12.4,0.92,0.51,0,As Expected,71.1,7,28,592,0,4,17,22,31,26
142694,10,FMC - HOME DIALYSIS NETWORK INC.,,95 129th INFANTRY DRIVE,JOLIET,IL,60435,Will,Profit,Yes,Fresenius Medical Care,No,0,No,Yes,Yes,As Expected,108,24.1,As Expected,161.4,As Expected,20,32.4,As Expected,18.5,18,,As Expected,38,35.4,0.25,0.45,,As Expected,56.9,0,10,365,0,5,25,21,24,24
232608,11,DaVita Flint Dialysis Center,2,"2 HURLEY PLAZA, SUITE 115",FLINT,MI,48503,Genesee,Profit,Yes,DaVita,Yes,20,Yes,Yes,No,As Expected,542,21.3,As Expected,182,As Expected,121,31.3,As Expected,18.9,66,1.57,As Expected,115,10.8,0.92,1.06,0.13,Worse than Expected,30.7,0,31,1179,1,7,23,24,28,17
32546,15,032546 SUN CITY WEST DIALYSIS (FMC),3,12213 W BELL ROAD STE 110,SURPRISE,AZ,85374,Maricopa,Profit,Yes,Fresenius Medical Care,No,18,Yes,No,No,As Expected,208,24.4,As Expected,93.9,As Expected,39,13.4,Not Available,,23,0.96,As Expected,39,6.1,1.26,1.78,0,As Expected,62.5,0,8,456,3,5,23,35,20,17
362851,9,FMC NXSTAGE KIDNEY CARE/NXSTAGE COLUMBUS LLC,2,5665 WOERNER TEMPLE ROAD,DUBLIN,OH,43016,Franklin,Profit,Yes,Fresenius Medical Care,Yes,10,Yes,Yes,Yes,As Expected,178,20.5,As Expected,206.9,As Expected,38,26.1,Not Available,,57,1.23,As Expected,101,25.3,0.75,0.6,,As Expected,35.4,0,11,646,1,8,20,29,29,14
242559,11,FMC DIALYSIS SERVICES OF ST PAUL,3,445 ETNA STREET,SAINT PAUL,MN,55106,Ramsey,Profit,Yes,Fresenius Medical Care,No,20,Yes,No,No,As Expected,175,18.6,As Expected,120.8,As Expected,43,19.9,As Expected,11.3,18,,As Expected,64,18.9,1.05,0.2,0,As Expected,56.5,2,15,513,3,11,23,25,24,16
392791,4,DaVita Westtown Dialysis,3,105 Westtown Road,West Chester,PA,19382,Chester,Profit,Yes,DaVita,No,24,Yes,Yes,No,As Expected,417,19.7,As Expected,130.6,As Expected,81,36.7,As Expected,0,33,0.82,As Expected,94,29.1,0.55,0.7,0,As Expected,47.8,0,48,1048,3,6,26,29,25,14
152675,9,Portage Dialysis Center,2,5615 US Highway 6,PORTAGE,IN,46368,Porter,Profit,Yes,American Renal Associates,No,17,Yes,Yes,Yes,As Expected,289,24.3,As Expected,153.5,As Expected,66,22.2,As Expected,17.3,39,0.68,As Expected,54,19.5,0.75,0.67,0.35,As Expected,56.4,12,18,531,2,4,27,38,17,14
312701,3,Alaris Health at Chateau,1,96 Parkway,Rochelle Park,NJ,7662,Bergen,Profit,Yes,Other,No,18,Yes,No,No,As Expected,208,29.7,As Expected,171,As Expected,119,31.2,As Expected,51.7,28,,As Expected,38,7.9,1.29,1.06,0.2,As Expected,49.4,22,31,643,19,15,33,32,15,5
452761,14,DaVita Katy Dialysis Grand Parkway,3,403 W GRAND PKWY S,KATY,TX,77494,Fort Bend,Profit,Yes,DaVita,No,20,Yes,Yes,No,As Expected,315,23.4,As Expected,130.5,As Expected,53,18.6,As Expected,22.9,36,0.31,As Expected,80,13.2,0.72,1.39,0.24,As Expected,53.8,0,25,792,1,6,17,22,30,26
12664,8,FMC SOUTH MOBILE,3,12401 SKOPELOS RD,GRAND BAY,AL,36541,Mobile,Profit,Yes,Fresenius Medical Care,Yes,27,Yes,Yes,Yes,As Expected,248,23.9,As Expected,124.8,As Expected,42,27.5,Not Available,,28,0,As Expected,58,15.7,1.56,1.61,0.54,As Expected,61.6,0,12,569,0,3,16,25,31,25
332625,2,CAROL MOLINARO DIALYSIS CENTER,4,800 CASTLETON AVENUE,STATEN ISLAND,NY,10310,Richmond,Non-profit,Yes,"Dialysis Clinic, Inc.",No,22,Yes,No,Yes,As Expected,326,15.5,As Expected,161.6,As Expected,77,27.9,As Expected,20.3,38,1.08,As Expected,83,24.1,0.83,0.65,0.32,As Expected,69.5,0,23,920,1,10,22,29,28,10
392810,4,DaVita Cheltenham Dialysis,3,133 Cheltenham Avenue,Cheltenham,PA,19012,Montgomery,Profit,Yes,DaVita,No,21,Yes,Yes,No,As Expected,284,13.8,As Expected,143.6,As Expected,65,29.5,As Expected,33.2,31,2.04,Better than Expected,78,38.6,0.55,0.5,0.24,As Expected,39.8,0,27,827,3,11,31,30,20,8
682662,7,Fresenius Kidney Care Southern Broward,1,2700 Hollywood Blvd,Hollywood,FL,33020,Broward,Profit,Yes,Fresenius Medical Care,No,17,Yes,Yes,Yes,As Expected,323,19.5,As Expected,129.2,As Expected,60,40.9,As Expected,49.2,55,0.96,As Expected,91,16.5,1.37,0.76,0,As Expected,53.5,0,16,886,3,9,26,36,18,12
52724,18,SRS-Los Nietos Dialysis,1,"10012 Norwalk Blvd., Suite 190",Santa Fe Springs,CA,90670,Los Angeles,Profit,No,Independent,No,24,Yes,No,No,As Expected,133,27.6,As Expected,161.6,As Expected,32,31.5,Not Available,,14,,As Expected,29,4.6,1.68,0.51,0.3,As Expected,67.6,0,8,369,0,7,23,38,19,13
382514,16,DaVita Roseburg Mercy Dialysis,1,2410 NW EDENBOWER BLVD SUITE 178,ROSEBURG,OR,97471,Douglas,Profit,Yes,DaVita,No,24,Yes,Yes,No,Worse than Expected,503,31,As Expected,116,As Expected,96,21.6,As Expected,48.4,87,0.97,As Expected,106,4.8,1.2,1.84,0,As Expected,43.5,0,42,1185,3,7,17,24,26,26
552510,17,DaVita Creekside Dialysis Center,4,141 PARKER STREET,VACAVILLE,CA,95688,Solano,Profit,Yes,DaVita,No,12,Yes,No,No,As Expected,160,22.5,As Expected,67.7,As Expected,18,6.6,As Expected,33.8,9,,As Expected,45,25.2,1.32,1.93,0,As Expected,73.3,0,14,470,1,6,26,39,18,11
232726,11,DaVita Novi Home Training,2,27225 PROVIDENCE PKWY STE 300,NOVI,MI,48374,Oakland,Profit,Yes,DaVita,No,0,No,Yes,No,As Expected,64,20.6,As Expected,266,As Expected,12,47.8,Not Available,,9,,As Expected,15,11.4,,,,Not Available,,0,2,119,0,11,36,23,19,11
752577,18,USRC MLK-COMPTON COMMUNITY DIALYSIS,,2600 N. WILMINGTON AVENUE,COMPTON,CA,90222,Los Angeles,Profit,Yes,"US Renal Care, Inc.",No,25,Yes,Yes,Yes,Not Available,14,,Not Available,,Not Available,6,,Not Available,,0,,As Expected,75,8,,,0,As Expected,49.5,0,7,292,0,5,23,28,30,14
242584,11,DaVita Moorhead Dialysis,3,1710 CENTER AVE W,DILWORTH,MN,56529,Clay,Profit,Yes,DaVita,No,12,Yes,Yes,No,As Expected,207,24.6,As Expected,157.3,As Expected,58,32.8,As Expected,39.7,26,1.26,As Expected,45,27.3,2.02,1.36,0,As Expected,56.6,0,21,462,0,8,28,28,22,14
362866,9,DaVita Canton Dialysis,2,2912 W TUSCARAWAS ST,CANTON,OH,44708,Stark,Profit,Yes,DaVita,No,27,Yes,Yes,No,As Expected,327,23.5,As Expected,134.9,As Expected,74,17.1,As Expected,51.3,27,,As Expected,81,7.6,0.81,0.73,0.49,As Expected,45.9,3,18,931,0,10,22,25,24,19
12528,8,FMC CAHABA VALLEY,3,120 CAHABA VALLEY PARKWAY,PELHAM,AL,35124,Shelby,Profit,Yes,Fresenius Medical Care,No,24,Yes,No,No,As Expected,232,26.7,As Expected,135.7,As Expected,32,29,As Expected,8.8,19,,As Expected,37,6.4,0.96,1.2,0.3,As Expected,57.6,0,9,405,0,5,18,32,27,19
672659,14,FRESENIUS MEDICAL CARE OF COCKRELL HILL,3,4810 WEST ILLINOIS,Dallas,TX,75211,Dallas,Profit,Yes,Fresenius Medical Care,No,16,Yes,Yes,Yes,As Expected,337,23.9,As Expected,81.8,As Expected,29,25,As Expected,7,48,0.34,As Expected,106,8.2,0.71,1.09,0.33,As Expected,59.1,1,19,1030,0,8,27,28,25,12
342696,6,DaVita Franklin Township Dialysis,4,80 Westgate Plaza,FRANKLIN,NC,28734,Macon,Profit,Yes,DaVita,No,9,Yes,Yes,Yes,As Expected,159,20.7,As Expected,147.5,As Expected,31,26.9,As Expected,36.4,17,,As Expected,31,21.8,1.41,1.8,0,Better than Expected,82.9,0,14,409,0,12,21,26,28,13
182560,9,FMC - PAINTSVILLE,3,620 JEFFERSON AVE,PAINTSVILLE,KY,41240,Johnson,Profit,Yes,Fresenius Medical Care,No,16,Yes,No,No,As Expected,186,18.3,As Expected,97.2,As Expected,28,34.4,Not Available,,22,,As Expected,31,6.5,1.29,0.95,0.32,As Expected,51.7,0,14,348,0,4,23,39,20,14
852549,6,Fresenius Kidney Care Cascade,2,1149 Cascade Parkway SW,ATLANTA,GA,30311,Fulton,Profit,Yes,Fresenius Medical Care,No,17,Yes,Yes,No,As Expected,223,26.4,As Expected,160.4,As Expected,50,29.3,Not Available,,33,0.69,As Expected,73,11.1,0.34,0.27,0.76,As Expected,41.6,0,2,668,1,8,29,31,22,10
372557,13,ARA - LAWTON DIALYSIS EAST,2,4516 SE LEE BLVD STE 108,LAWTON,OK,73501,Comanche,Profit,Yes,American Renal Associates,No,23,Yes,No,No,As Expected,152,32,Worse than Expected,262.8,As Expected,33,27.9,Worse than Expected,103.1,12,,Worse than Expected,18,0,1.58,1.72,,As Expected,73.3,,7,215,3,12,21,20,23,24
362560,9,DaVita Shaker Square Dialysis,1,"12800 SHAKER BLVD, STE. 1",CLEVELAND,OH,44120,Cuyahoga,Profit,Yes,DaVita,No,22,Yes,Yes,Yes,As Expected,283,17.2,As Expected,175.1,As Expected,79,24.1,Not Available,,15,,As Expected,73,5.3,0.53,0.44,0.32,As Expected,42.5,1,10,739,1,8,19,20,27,27
452668,14,FRESENIUS MEDICAL CARE WEST BEXAR,3,803 CASTROVILLE RD STE 410,SAN ANTONIO,TX,78237,Bexar,Profit,Yes,Fresenius Medical Care,No,30,Yes,No,No,As Expected,274,27.1,Worse than Expected,214.1,Worse than Expected,88,42.6,Not Available,,37,0.58,As Expected,72,15.2,0.87,0.62,0.6,As Expected,73.7,3,14,633,0,4,25,28,28,15
122500,17,USRC Wahiawa Dialysis Center,4,850 KILANI AVENUE,WAHIAWA,HI,96786,Honolulu,Profit,Yes,"US Renal Care, Inc.",Yes,24,Yes,No,No,As Expected,344,15.4,As Expected,82.2,As Expected,37,23.7,As Expected,33.7,16,,As Expected,61,15.8,1.92,0.95,0.8,As Expected,52.4,0,21,806,0,8,28,28,21,16
32614,15,032614 DOUGLAS DIALYSIS CENTER (DCI),2,99 E 16TH ST,DOUGLAS,AZ,85607,Cochise,Non-profit,Yes,"Dialysis Clinic, Inc.",No,12,Yes,No,No,As Expected,174,32.9,As Expected,151.9,As Expected,30,31.6,Not Available,,28,0.44,As Expected,42,7.3,1.21,2.33,0,As Expected,81.4,4,3,464,1,11,22,27,24,15
512550,5,FRESENIUS MEDICAL CARE MONONGALIA COUNTY,2,3800 Mon Health Medical Park Drive,MORGANTOWN,WV,26505,Monongalia,Profit,Yes,Fresenius Medical Care,No,11,Yes,No,No,As Expected,103,18.2,As Expected,138.3,As Expected,23,16.4,Not Available,,12,,As Expected,18,7.3,0.82,1.3,0.4,As Expected,33.8,,8,222,0,10,18,31,23,17
492632,5,FMC - PRINCE WILLIAM COUNTY DIALYSIS,5,9302 WEST COURTHOUSE RD,MANASSAS,VA,20110,Manassas City,Profit,Yes,Fresenius Medical Care,Yes,20,Yes,Yes,Yes,As Expected,360,22.7,Better than Expected,71.6,As Expected,34,20.9,As Expected,13.4,49,1.18,As Expected,96,16.3,0.66,0.8,0.29,As Expected,73.3,0,27,1017,1,10,27,36,22,5
112540,6,BMA THOMSON,3,1020 WEST HILL STREET,THOMSON,GA,30824,McDuffie,Profit,Yes,Fresenius Medical Care,No,31,Yes,No,No,As Expected,347,19.4,As Expected,140.7,As Expected,94,31.8,As Expected,5,53,0.84,As Expected,82,5.9,1.11,1.62,0.27,As Expected,54.3,0,18,948,0,13,29,23,22,13
152542,9,FMC - NEPHROLOGY  - BLACKTHORN,2,6201 NIMTZ PARKWAY,SOUTH BEND,IN,46628,St Joseph,Profit,Yes,Fresenius Medical Care,No,24,Yes,No,No,As Expected,360,20.6,As Expected,143.6,As Expected,67,19.2,As Expected,47.6,27,0,As Expected,67,2.8,1.39,1.74,0.21,As Expected,60,0,16,689,0,7,17,26,32,18
382518,16,FMC BEND,3,1239 NE MEDICAL CENTER DR STE 100,BEND,OR,97701,Deschutes,Profit,Yes,Fresenius Medical Care,No,17,Yes,Yes,Yes,As Expected,486,24.4,As Expected,105.7,As Expected,75,29.9,As Expected,8.7,56,1.17,As Expected,93,11.8,0.9,0.66,0,As Expected,61.6,3,39,1049,2,6,26,33,19,16
312518,3,FMC Colonia,3,1250 Route 27,Colonia,NJ,7067,Middlesex,Profit,Yes,Fresenius Medical Care,Yes,16,Yes,Yes,No,As Expected,319,19.9,As Expected,161.5,As Expected,91,27.9,As Expected,28.2,29,,As Expected,70,12.5,0.68,0.44,0.3,As Expected,55.7,0,31,814,0,11,24,34,21,10
72544,1,DaVita Danbury Dialysis,4,111 OSBORNE STREET,DANBURY,CT,6810,Fairfield,Profit,Yes,DaVita,Yes,19,Yes,Yes,No,As Expected,399,23.3,As Expected,174.2,As Expected,101,35.5,As Expected,18.8,34,,As Expected,73,32.1,1.03,0.93,0.12,Better than Expected,81.6,0,42,876,0,14,28,31,18,8
52556,18,U.S. Renal Care Skypark Dialysis,4,3295 Skypark Drive,Torrance,CA,90505,Los Angeles,Profit,Yes,"US Renal Care, Inc.",No,12,Yes,No,No,As Expected,341,16.8,As Expected,123.8,As Expected,77,23.1,As Expected,24.6,18,,As Expected,58,21.6,0.5,0.54,0.58,As Expected,62.6,0,25,835,0,11,43,21,16,8
62530,15,062530 MONTROSE DIALYSIS (DCI),3,846 SOUTH 5TH STREET,MONTROSE,CO,81401,Montrose,Non-profit,Yes,"Dialysis Clinic, Inc.",No,15,Yes,No,No,As Expected,115,23.6,As Expected,64.6,Not Available,8,,Not Available,,15,,As Expected,23,8.4,1.26,,0,As Expected,64,0,1,325,4,8,28,25,27,12
242515,11,DaVita Burnsville Dialysis Unit,4,501 E NICOLLET BLVD,BURNSVILLE,MN,55337,Dakota,Profit,Yes,DaVita,Yes,20,Yes,Yes,No,As Expected,200,19.3,As Expected,130.8,As Expected,53,22.8,As Expected,12.8,13,,As Expected,54,16.7,1.1,0.76,0,As Expected,61.5,0,21,410,0,7,22,32,22,16
672732,14,DaVita Renal Center of North Dallas,2,6190 LYNDON B JOHNSON FWY,DALLAS,TX,75240,Dallas,Profit,Yes,DaVita,No,16,Yes,No,No,As Expected,153,19.2,As Expected,191.9,As Expected,37,37,Not Available,,18,,As Expected,38,6.8,0.5,0.64,0,As Expected,43.3,0,7,322,1,7,15,24,33,22
332588,2,DaVita Boston Post Road Dialysis Center,3,4026 BOSTON  ROAD,BRONX,NY,10475,Bronx,Profit,Yes,DaVita,No,25,Yes,Yes,Yes,As Expected,321,19.5,As Expected,184.3,As Expected,73,37.9,As Expected,38.7,45,1.11,As Expected,77,25.2,0.8,0.42,0,As Expected,66.6,0,17,882,1,7,24,30,23,16
152598,9,FMC - LIBERTY DIALYSIS - CRAWFORDSVILLE,4,1710 LAFAYETTE ROAD,CRAWFORDSVILLE,IN,47933,Montgomery,Profit,Yes,Fresenius Medical Care,No,10,Yes,No,No,Better than Expected,213,13.8,As Expected,110.2,As Expected,52,19.1,As Expected,7.1,20,,As Expected,43,22.1,1.15,1.72,0,As Expected,55.2,0,16,492,0,6,19,25,26,25
552853,18,Northridge Kidney Care Center,3,19333 Business Center Drive,Northridge,CA,91324,Los Angeles,Profit,No,Independent,No,25,Yes,No,No,As Expected,482,17.1,As Expected,144.7,As Expected,126,32.9,As Expected,29.5,69,0.78,As Expected,116,23.2,0.84,0.77,,As Expected,60,,41,1251,0,5,29,47,13,7
382532,16,FMC LEBANON OREGON,2,665 N 5TH STREET,LEBANON,OR,97355,Linn,Profit,Yes,Fresenius Medical Care,No,21,Yes,Yes,No,As Expected,288,22.8,As Expected,115.7,As Expected,40,19.7,As Expected,14.3,18,,As Expected,58,3,1.78,1.6,0.12,As Expected,57.3,0,12,643,0,6,17,27,31,19
142582,10,DaVita Lincoln Dialysis,2,2100 WEST FIFTH ST,LINCOLN,IL,62656,Logan,Profit,Yes,DaVita,No,14,Yes,No,No,As Expected,160,21.3,As Expected,119.4,As Expected,40,19.2,Not Available,,16,,As Expected,30,0.8,1.4,2.05,0,As Expected,55.5,0,18,431,0,6,23,29,30,12
142316,10,DIALYSIS - UNIVERSITY OF ILLINOIS HOSPITAL,3,"1859 W TAYLOR , UIMCC MC 794, ROOM 1003",CHICAGO,IL,60612,Cook,Profit,No,Independent,No,24,Yes,Yes,Yes,As Expected,416,19.2,As Expected,141,As Expected,83,20.1,As Expected,33.9,64,1.76,Better than Expected,118,31.6,0.78,0.83,0.29,As Expected,46.4,11,34,1235,0,8,18,26,27,21
212638,5,DaVita Germantown Dialysis,4,20111 CENTURY BLVD   STE C,GERMANTOWN,MD,20874,Montgomery,Profit,Yes,DaVita,Yes,21,Yes,Yes,Yes,As Expected,554,22.5,Better than Expected,82.5,As Expected,61,24.3,As Expected,29.6,75,1.16,As Expected,188,22.8,0.68,0.81,0.27,As Expected,67.3,8,61,2023,2,5,18,24,32,21
142666,10,DaVita Lake Villa Dialysis,3,"37809 N ILLINOIS, ROUTE 59",LAKE VILLA,IL,60046,Lake,Profit,Yes,DaVita,No,12,Yes,Yes,Yes,As Expected,266,19.8,As Expected,129.3,As Expected,64,26.6,As Expected,25.3,28,0.35,As Expected,59,19,0.57,0.53,0,As Expected,59.7,0,30,741,1,6,23,34,21,16
552676,18,DaVita Anaheim West Dialysis,3,1821 W. Lincoln Avenue,Anaheim,CA,92801,Orange,Profit,Yes,DaVita,No,20,Yes,Yes,No,As Expected,503,23.4,As Expected,159.7,As Expected,118,27.1,Worse than Expected,57,71,0.35,As Expected,155,23.4,0.94,0.78,0.4,As Expected,63.4,0,34,1724,2,7,22,26,28,18
212711,5,DaVita Odenton Dialysis,3,1360 Blair Drive,ODENTON,MD,21113,Anne Arundel,Profit,Yes,DaVita,No,19,Yes,No,No,As Expected,183,13.6,As Expected,122,As Expected,23,38.9,As Expected,24.7,31,1.14,As Expected,68,21.5,0.77,0.16,0.11,As Expected,64.7,3,21,616,2,8,23,27,25,17
